,Country name,Regional indicator,Ladder score
0,Afghanistan,South Asia,2.523
1,Albania,Central and Eastern Europe,5.117
2,Algeria,Middle East and North Africa,4.887
3,Argentina,Latin America and Caribbean,5.9289999999999985
4,Armenia,Commonwealth of Independent States,5.283
5,Australia,North America and ANZ,7.183
6,Austria,Western Europe,7.268
7,Azerbaijan,Commonwealth of Independent States,5.171
8,Bahrain,Middle East and North Africa,6.647
9,Bangladesh,South Asia,5.025
10,Belarus,Commonwealth of Independent States,5.534
11,Belgium,Western Europe,6.834
12,Benin,Sub-Saharan Africa,5.045
13,Bolivia,Latin America and Caribbean,5.716
14,Bosnia and Herzegovina,Central and Eastern Europe,5.813
15,Botswana,Sub-Saharan Africa,3.467
16,Brazil,Latin America and Caribbean,6.33
17,Bulgaria,Central and Eastern Europe,5.266
18,Burkina Faso,Sub-Saharan Africa,4.834
19,Burundi,Sub-Saharan Africa,3.775
20,Cambodia,Southeast Asia,4.83
21,Cameroon,Sub-Saharan Africa,5.142
22,Canada,North America and ANZ,7.103
23,Chad,Sub-Saharan Africa,4.355
24,Chile,Latin America and Caribbean,6.1720000000000015
25,China,East Asia,5.339
26,Colombia,Latin America and Caribbean,6.0120000000000005
27,Comoros,Sub-Saharan Africa,4.289
28,Congo (Brazzaville),Sub-Saharan Africa,5.3420000000000005
29,Costa Rica,Latin America and Caribbean,7.069
30,Croatia,Central and Eastern Europe,5.8820000000000014
31,Cyprus,Western Europe,6.223
32,Czech Republic,Central and Eastern Europe,6.965
33,Denmark,Western Europe,7.62
34,Dominican Republic,Latin America and Caribbean,5.545
35,Ecuador,Latin America and Caribbean,5.7639999999999985
36,Egypt,Middle East and North Africa,4.283
37,El Salvador,Latin America and Caribbean,6.061
38,Estonia,Central and Eastern Europe,6.189
39,Ethiopia,Sub-Saharan Africa,4.275
40,Finland,Western Europe,7.842
41,France,Western Europe,6.69
42,Gabon,Sub-Saharan Africa,4.852
43,Gambia,Sub-Saharan Africa,5.051
44,Georgia,Commonwealth of Independent States,4.891
45,Germany,Western Europe,7.155
46,Ghana,Sub-Saharan Africa,5.088
47,Greece,Western Europe,5.723
48,Guatemala,Latin America and Caribbean,6.435
49,Guinea,Sub-Saharan Africa,4.984
50,Haiti,Latin America and Caribbean,3.615
51,Honduras,Latin America and Caribbean,5.919
52,Hong Kong S.A.R. of China,East Asia,5.477
53,Hungary,Central and Eastern Europe,5.992000000000001
54,Iceland,Western Europe,7.5539999999999985
55,India,South Asia,3.819
56,Indonesia,Southeast Asia,5.345
57,Iran,Middle East and North Africa,4.721
58,Iraq,Middle East and North Africa,4.854
59,Ireland,Western Europe,7.085
60,Israel,Middle East and North Africa,7.157
61,Italy,Western Europe,6.483
62,Ivory Coast,Sub-Saharan Africa,5.306
63,Jamaica,Latin America and Caribbean,6.309
64,Japan,East Asia,5.94
65,Jordan,Middle East and North Africa,4.395
66,Kazakhstan,Commonwealth of Independent States,6.152
67,Kenya,Sub-Saharan Africa,4.607
68,Kosovo,Central and Eastern Europe,6.372000000000001
69,Kuwait,Middle East and North Africa,6.106
70,Kyrgyzstan,Commonwealth of Independent States,5.744
71,Laos,Southeast Asia,5.03
72,Latvia,Central and Eastern Europe,6.032
73,Lebanon,Middle East and North Africa,4.584
74,Lesotho,Sub-Saharan Africa,3.512
75,Liberia,Sub-Saharan Africa,4.625
76,Libya,Middle East and North Africa,5.41
77,Lithuania,Central and Eastern Europe,6.255
78,Luxembourg,Western Europe,7.324
79,Madagascar,Sub-Saharan Africa,4.208
80,Malawi,Sub-Saharan Africa,3.6
81,Malaysia,Southeast Asia,5.384
82,Maldives,South Asia,5.198
83,Mali,Sub-Saharan Africa,4.723
84,Malta,Western Europe,6.602
85,Mauritania,Sub-Saharan Africa,4.227
86,Mauritius,Sub-Saharan Africa,6.049
87,Mexico,Latin America and Caribbean,6.317
88,Moldova,Commonwealth of Independent States,5.766
89,Mongolia,East Asia,5.6770000000000005
90,Montenegro,Central and Eastern Europe,5.581
91,Morocco,Middle East and North Africa,4.918
92,Mozambique,Sub-Saharan Africa,4.794
93,Myanmar,Southeast Asia,4.426
94,Namibia,Sub-Saharan Africa,4.574
95,Nepal,South Asia,5.269
96,Netherlands,Western Europe,7.463999999999999
97,New Zealand,North America and ANZ,7.277
98,Nicaragua,Latin America and Caribbean,5.972
99,Niger,Sub-Saharan Africa,5.074
100,Nigeria,Sub-Saharan Africa,4.759
101,North Cyprus,Western Europe,5.5360000000000005
102,North Macedonia,Central and Eastern Europe,5.101
103,Norway,Western Europe,7.392
104,Pakistan,South Asia,4.934
105,Palestinian Territories,Middle East and North Africa,4.517
106,Panama,Latin America and Caribbean,6.18
107,Paraguay,Latin America and Caribbean,5.653
108,Peru,Latin America and Caribbean,5.84
109,Philippines,Southeast Asia,5.88
110,Poland,Central and Eastern Europe,6.166
111,Portugal,Western Europe,5.9289999999999985
112,Romania,Central and Eastern Europe,6.14
113,Russia,Commonwealth of Independent States,5.477
114,Rwanda,Sub-Saharan Africa,3.415
115,Saudi Arabia,Middle East and North Africa,6.494
116,Senegal,Sub-Saharan Africa,5.1320000000000014
117,Serbia,Central and Eastern Europe,6.0779999999999985
118,Sierra Leone,Sub-Saharan Africa,3.849
119,Singapore,Southeast Asia,6.377000000000002
120,Slovakia,Central and Eastern Europe,6.331
121,Slovenia,Central and Eastern Europe,6.461
122,South Africa,Sub-Saharan Africa,4.956
123,South Korea,East Asia,5.845
124,Spain,Western Europe,6.4910000000000005
125,Sri Lanka,South Asia,4.325
126,Swaziland,Sub-Saharan Africa,4.308
127,Sweden,Western Europe,7.362999999999999
128,Switzerland,Western Europe,7.5710000000000015
129,Taiwan Province of China,East Asia,6.584
130,Tajikistan,Commonwealth of Independent States,5.466
131,Tanzania,Sub-Saharan Africa,3.623
132,Thailand,Southeast Asia,5.985
133,Togo,Sub-Saharan Africa,4.107
134,Tunisia,Middle East and North Africa,4.596
135,Turkey,Middle East and North Africa,4.948
136,Turkmenistan,Commonwealth of Independent States,5.066
137,Uganda,Sub-Saharan Africa,4.636
138,Ukraine,Commonwealth of Independent States,4.875
139,United Arab Emirates,Middle East and North Africa,6.561
140,United Kingdom,Western Europe,7.064
141,United States,North America and ANZ,6.9510000000000005
142,Uruguay,Latin America and Caribbean,6.431
143,Uzbekistan,Commonwealth of Independent States,6.1789999999999985
144,Venezuela,Latin America and Caribbean,4.892
145,Vietnam,Southeast Asia,5.4110000000000005
146,Yemen,Middle East and North Africa,3.658
147,Zambia,Sub-Saharan Africa,4.073
148,Zimbabwe,Sub-Saharan Africa,3.145
